MatchDate,Team1,Team2,Venue,Toss_Winner,Toss_Decision,Match_Result
2017-11-05,New Zealand,Pakistan,Sharjah Cricket Stadium,New Zealand,bat,Pakistan
2022-07-31,Scotland,New Zealand,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Scotland,bat,New Zealand
2014-08-25,West Indies,Bangladesh,"Warner Park, Basseterre",West Indies,bat,West Indies
2023-03-06,Nepal,United Arab Emirates,Dubai International Cricket Stadium,Nepal,bat,Nepal
2022-03-07,Bangladesh,New Zealand,"University Oval, Dunedin",New Zealand,field,New Zealand
2008-03-04,Australia,India,"Brisbane Cricket Ground, Woolloongabba",India,bat,India
2018-05-04,South Africa,Bangladesh,Senwes Park,South Africa,bat,South Africa
2022-06-03,Scotland,United Arab Emirates,"Moosa Cricket Stadium, Pearland",Scotland,bat,United Arab Emirates
2008-08-18,Sri Lanka,India,Rangiri Dambulla International Stadium,India,bat,Sri Lanka
2024-02-12,Canada,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,field,Nepal
2009-11-05,Bangladesh,Zimbabwe,Zohur Ahmed Chowdhury Stadium,Bangladesh,field,Bangladesh
2017-06-10,England,Australia,Edgbaston,England,field,England
2006-02-25,Bangladesh,Sri Lanka,Chittagong Divisional Stadium,Bangladesh,field,Sri Lanka
2014-01-22,New Zealand,India,Seddon Park,India,field,New Zealand
2022-07-04,Sri Lanka,India,Pallekele International Cricket Stadium,India,field,India
2024-11-02,West Indies,England,"Sir Vivian Richards Stadium, North Sound, Antigua",England,field,England
2024-11-01,United Arab Emirates,Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,field,Oman
2023-03-29,Canada,United States of America,"Wanderers Cricket Ground, Windhoek",United States of America,field,Canada
2021-01-23,South Africa,Pakistan,Kingsmead,Pakistan,field,South Africa
2004-07-21,Pakistan,Sri Lanka,R.Premadasa Stadium,Pakistan,bat,Sri Lanka
2016-01-02,New Zealand,Sri Lanka,Saxton Oval,Sri Lanka,field,No Result
2019-07-02,Bangladesh,India,Edgbaston,India,bat,India
2018-09-28,Bangladesh,India,Dubai International Cricket Stadium,India,field,India
2017-01-26,United Arab Emirates,Hong Kong,Dubai International Cricket Stadium,United Arab Emirates,field,United Arab Emirates
2012-12-07,Bangladesh,West Indies,Shere Bangla National Stadium,Bangladesh,field,West Indies
2023-03-22,Australia,India,"MA Chidambaram Stadium, Chepauk, Chennai",Australia,bat,Australia
2012-02-09,New Zealand,Zimbabwe,McLean Park,New Zealand,bat,New Zealand
2017-09-17,India,Australia,"MA Chidambaram Stadium, Chepauk",India,bat,India
2015-04-19,Bangladesh,Pakistan,Shere Bangla National Stadium,Pakistan,bat,Bangladesh
2003-01-01,India,New Zealand,"Jade Stadium, Christchurch",India,bat,New Zealand
2007-07-20,Sri Lanka,Bangladesh,P Saravanamuttu Stadium,Bangladesh,field,Sri Lanka
2008-07-04,Pakistan,Bangladesh,National Stadium,Bangladesh,bat,Pakistan
2013-02-26,West Indies,Zimbabwe,"National Cricket Stadium, St George's",Zimbabwe,bat,West Indies
2010-09-06,Canada,Ireland,"Toronto Cricket, Skating and Curling Club",Ireland,bat,Canada
2015-03-05,Bangladesh,Scotland,Saxton Oval,Bangladesh,field,Bangladesh
2024-02-25,Nepal,Netherlands,"Tribhuvan University International Cricket Ground, Kirtipur",Netherlands,field,Netherlands
2017-07-09,England,Australia,County Ground,England,bat,England
2016-10-11,South Africa,New Zealand,Diamond Oval,South Africa,field,South Africa
2005-12-03,Australia,New Zealand,Eden Park,New Zealand,field,Australia
2016-10-24,South Africa,New Zealand,Boland Park,New Zealand,bat,New Zealand
2024-02-02,West Indies,Australia,Melbourne Cricket Ground,Australia,field,Australia
2022-06-14,Sri Lanka,Australia,Pallekele International Cricket Stadium,Sri Lanka,bat,Australia
2013-02-20,New Zealand,England,McLean Park,England,field,England
2018-04-09,India,England,"Vidarbha Cricket Association Stadium, Jamtha",India,bat,England
2022-07-18,England,South Africa,"Grace Road, Leicester",South Africa,field,England
2010-12-10,India,New Zealand,"MA Chidambaram Stadium, Chepauk",New Zealand,bat,India
2016-01-23,Australia,India,Sydney Cricket Ground,India,field,India
2019-03-24,Australia,Pakistan,Sharjah Cricket Stadium,Pakistan,bat,Australia
2024-12-04,England,South Africa,"Diamond Oval, Kimberley",England,bat,South Africa
2018-11-09,Australia,South Africa,Adelaide Oval,South Africa,field,Australia
2021-07-16,South Africa,Ireland,"The Village, Malahide, Dublin",South Africa,bat,South Africa
2004-07-17,Pakistan,Bangladesh,Sinhalese Sports Club,Pakistan,bat,Pakistan
2008-07-06,West Indies,Australia,"Warner Park, Basseterre",Australia,bat,Australia
2018-06-19,England,Australia,Trent Bridge,Australia,field,England
2012-06-13,Sri Lanka,Pakistan,R Premadasa Stadium,Pakistan,bat,No Result
2021-07-20,Australia,West Indies,"Kensington Oval, Bridgetown, Barbados",Australia,bat,Australia
2011-03-11,Bangladesh,England,Zahur Ahmed Chowdhury Stadium,Bangladesh,field,Bangladesh
2024-01-02,Australia,India,"Wankhede Stadium, Mumbai",Australia,bat,Australia
2004-01-18,India,Australia,Brisbane Cricket Ground,India,bat,India
2005-12-21,England,Pakistan,Rawalpindi Cricket Stadium,England,bat,England
2016-08-11,Ireland,South Africa,The Hills Cricket Club Ground,South Africa,bat,Ireland
2007-10-01,Sri Lanka,England,Rangiri Dambulla International Stadium,Sri Lanka,bat,Sri Lanka
2019-06-30,England,India,Edgbaston,England,bat,England
2019-06-12,Australia,Pakistan,The Cooper Associates County Ground,Pakistan,field,Australia
2014-07-09,Sri Lanka,South Africa,Pallekele International Cricket Stadium,Sri Lanka,bat,Sri Lanka
2012-06-16,England,West Indies,The Rose Bowl,West Indies,field,England
2023-03-03,Papua New Guinea,Nepal,Dubai International Cricket Stadium,Papua New Guinea,bat,Nepal
2009-05-03,Australia,Pakistan,Sheikh Zayed Stadium,Australia,bat,Pakistan
2011-01-22,New Zealand,Pakistan,Westpac Stadium,Pakistan,bat,New Zealand
2015-01-13,Pakistan,Sri Lanka,Sharjah Cricket Stadium,Sri Lanka,bat,Pakistan
2014-06-17,Bangladesh,India,Shere Bangla National Stadium,Bangladesh,field,India
2013-11-02,India,Australia,M Chinnaswamy Stadium,Australia,field,India
2004-11-28,Zimbabwe,England,Harare Sports Club,England,field,England
2018-06-21,Australia,England,Riverside Ground,Australia,bat,England
2007-01-14,Australia,New Zealand,Bellerive Oval,Australia,bat,Australia
2022-03-12,India,West Indies,"Seddon Park, Hamilton",India,bat,India
2008-04-12,West Indies,Sri Lanka,"Queen's Park Oval, Port of Spain",West Indies,field,West Indies
2021-07-22,Australia,West Indies,"Kensington Oval, Bridgetown, Barbados",Australia,bat,West Indies
2019-07-01,Ireland,Zimbabwe,"Bready Cricket Club, Magheramason",Ireland,field,Ireland
2007-02-18,New Zealand,Australia,Eden Park,New Zealand,field,New Zealand
2013-09-08,England,Australia,Old Trafford,England,field,Australia
2012-03-18,West Indies,Australia,"Arnos Vale Ground, Kingstown",West Indies,field,West Indies
2017-05-29,England,South Africa,Lord's,South Africa,field,South Africa
2022-03-29,Netherlands,New Zealand,"Bay Oval, Mount Maunganui",Netherlands,bat,New Zealand
2011-10-22,Zimbabwe,New Zealand,Harare Sports Club,New Zealand,field,New Zealand
2022-06-01,Sri Lanka,Pakistan,"Southend Club Cricket Stadium, Karachi",Sri Lanka,bat,Pakistan
2013-06-08,England,Australia,Edgbaston,England,bat,England
2018-09-19,Pakistan,India,Dubai International Cricket Stadium,Pakistan,bat,India
2011-03-29,Sri Lanka,New Zealand,R Premadasa Stadium,New Zealand,bat,Sri Lanka
2017-01-22,Australia,Pakistan,Sydney Cricket Ground,Australia,bat,Australia
2003-04-05,Kenya,Zimbabwe,Sharjah Cricket Association Stadium,Kenya,bat,Zimbabwe
2022-09-24,India,England,"Lord's, London",England,field,India
2010-05-30,West Indies,South Africa,"Windsor Park, Roseau",West Indies,bat,South Africa
2017-10-25,New Zealand,India,Maharashtra Cricket Association Stadium,New Zealand,bat,India
2008-02-01,South Africa,West Indies,Kingsmead,West Indies,bat,South Africa
2019-03-03,Australia,New Zealand,Junction Oval,New Zealand,bat,Australia
2015-07-26,England,Australia,"County Ground, New Road",England,field,Australia
2023-09-26,England,Ireland,"County Ground, Bristol",Ireland,field,No Result
2022-01-21,India,South Africa,"Boland Park, Paarl",India,bat,South Africa
2023-10-07,South Africa,Sri Lanka,"Arun Jaitley Stadium, Delhi",Sri Lanka,field,South Africa
2023-09-27,Australia,India,"Saurashtra Cricket Association Stadium, Rajkot",Australia,bat,Australia
2023-07-22,Bangladesh,India,"Shere Bangla National Stadium, Mirpur",Bangladesh,bat,No Result
2019-05-14,England,Pakistan,County Ground,England,field,England
2023-05-01,United Arab Emirates,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,field,Nepal
2022-05-31,United Arab Emirates,Scotland,"Moosa Cricket Stadium, Pearland",United Arab Emirates,bat,Scotland
2023-09-17,South Africa,Australia,"The Wanderers Stadium, Johannesburg",Australia,field,South Africa
2016-11-21,Zimbabwe,Sri Lanka,Queens Sports Club,Zimbabwe,bat,No Result
2022-11-26,United States of America,Namibia,"Wanderers Cricket Ground, Windhoek",Namibia,field,Namibia
2008-08-22,England,South Africa,Headingley,England,bat,England
2007-03-30,England,Ireland,Providence Stadium,England,bat,England
2015-11-07,Bangladesh,Zimbabwe,Shere Bangla National Stadium,Zimbabwe,field,Bangladesh
2012-07-07,England,Australia,Riverside Ground,England,field,England
2018-07-12,England,India,Trent Bridge,India,field,India
2021-09-10,Nepal,Papua New Guinea,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,bat,Nepal
2014-06-19,Bangladesh,India,Shere Bangla National Stadium,India,bat,No Result
2013-02-03,India,England,Brabourne Stadium,India,field,England
2003-11-15,India,New Zealand,"Lal Bahadur Shastri Stadium, Hyderabad, Deccan",India,bat,India
2021-07-18,Sri Lanka,India,"R Premadasa Stadium, Colombo",Sri Lanka,bat,India
2007-12-28,New Zealand,Bangladesh,McLean Park,New Zealand,bat,New Zealand
2024-04-17,South Africa,Sri Lanka,"Senwes Park, Potchefstroom",Sri Lanka,field,Sri Lanka
2011-08-12,Zimbabwe,Bangladesh,Harare Sports Club,Zimbabwe,field,Zimbabwe
2019-03-18,Sri Lanka,England,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Sri Lanka,bat,England
2016-09-25,South Africa,Ireland,Willowmoore Park,Ireland,field,South Africa
2020-02-05,New Zealand,India,Seddon Park,New Zealand,field,New Zealand
2019-03-02,West Indies,England,"Darren Sammy National Cricket Stadium, St Lucia",West Indies,field,West Indies
2008-06-15,England,New Zealand,Riverside Ground,New Zealand,field,England
2017-07-02,Australia,New Zealand,County Ground,New Zealand,bat,Australia
2009-09-12,England,Australia,Lord's,England,bat,Australia
2011-02-27,India,England,M Chinnaswamy Stadium,India,bat,No Result
2011-04-02,India,Sri Lanka,Wankhede Stadium,Sri Lanka,bat,India
2023-06-23,Scotland,United Arab Emirates,Bulawayo Athletic Club,United Arab Emirates,field,Scotland
2005-06-16,Bangladesh,England,Kennington Oval,England,field,England
2004-09-10,England,Zimbabwe,Edgbaston,Zimbabwe,field,England
2014-01-19,New Zealand,India,McLean Park,India,field,New Zealand
2023-06-26,Zimbabwe,United States of America,Harare Sports Club,United States of America,field,Zimbabwe
2009-11-08,South Africa,Zimbabwe,Willowmoore Park,Zimbabwe,field,South Africa
2004-05-27,Australia,Zimbabwe,Harare Sports Club,Zimbabwe,field,Australia
2011-08-14,Sri Lanka,Australia,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Sri Lanka,bat,Australia
2009-02-08,Australia,New Zealand,Sydney Cricket Ground,New Zealand,field,Australia
2021-09-07,West Indies,South Africa,"Coolidge Cricket Ground, Antigua",West Indies,bat,South Africa
2004-05-16,West Indies,Bangladesh,Arnos Vale Ground,Bangladesh,field,West Indies
2023-09-12,Sri Lanka,England,"County Ground, Northampton",England,field,No Result
2022-11-25,United States of America,Papua New Guinea,"Wanderers Cricket Ground, Windhoek",United States of America,bat,United States of America
2007-03-05,New Zealand,Australia,"MA Chidambaram Stadium, Chepauk",New Zealand,bat,Australia
2019-02-22,Australia,New Zealand,W.A.C.A. Ground,New Zealand,field,Australia
2019-08-14,Oman,Papua New Guinea,Mannofield Park,Oman,field,Oman
2019-12-15,United Arab Emirates,Scotland,ICC Academy,United Arab Emirates,field,United Arab Emirates
2023-03-03,England,Bangladesh,"Shere Bangla National Stadium, Mirpur",Bangladesh,field,England
2012-02-24,Australia,Sri Lanka,Bellerive Oval,Australia,bat,Sri Lanka
2020-10-05,New Zealand,Australia,Allan Border Field,Australia,field,Australia
2011-08-21,Zimbabwe,Bangladesh,Queens Sports Club,Zimbabwe,field,Bangladesh
2016-11-08,Hong Kong,Papua New Guinea,"Mission Road Ground, Mong Kok",Papua New Guinea,bat,Hong Kong
2013-06-02,England,New Zealand,The Rose Bowl,New Zealand,bat,New Zealand
2023-09-28,New Zealand,South Africa,"City Oval, Pietermaritzburg",South Africa,field,South Africa
2021-04-10,Australia,New Zealand,"Bay Oval, Mount Maunganui",New Zealand,field,Australia
2023-06-28,Ireland,West Indies,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",West Indies,field,No Result
2010-11-02,Pakistan,South Africa,Dubai International Cricket Stadium,Pakistan,field,South Africa
2018-10-21,Bangladesh,Zimbabwe,"Shere Bangla National Stadium, Mirpur",Bangladesh,bat,Bangladesh
2021-07-18,Zimbabwe,Bangladesh,Harare Sports Club,Zimbabwe,bat,Bangladesh
2017-02-17,Ireland,Pakistan,Colombo Cricket Club Ground,Pakistan,bat,Pakistan
2006-03-05,South Africa,Australia,St George's Park,South Africa,field,Australia
2022-07-17,Nepal,Scotland,"Titwood, Glasgow",Scotland,field,Scotland
2021-10-05,Ireland,Zimbabwe,Harare Sports Club,Zimbabwe,field,Zimbabwe
2014-11-16,Australia,West Indies,Bradman Oval,West Indies,bat,Australia
2010-02-21,India,South Africa,Sawai Mansingh Stadium,South Africa,field,India
2014-08-19,Zimbabwe,South Africa,Queens Sports Club,Zimbabwe,field,South Africa
2024-02-10,Australia,South Africa,"North Sydney Oval, Sydney",Australia,bat,Australia
2009-07-26,West Indies,Bangladesh,"Windsor Park, Roseau",West Indies,field,Bangladesh
2024-06-21,Sri Lanka,West Indies,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",West Indies,field,Sri Lanka
2003-06-17,England,Pakistan,"Old Trafford, Manchester",England,bat,Pakistan
2008-06-12,Bangladesh,India,Shere Bangla National Stadium,Bangladesh,bat,India
2022-12-09,England,West Indies,"Sir Vivian Richards Stadium, North Sound, Antigua",England,bat,England
2015-03-07,Ireland,Zimbabwe,Bellerive Oval,Zimbabwe,field,Ireland
2007-04-14,New Zealand,South Africa,"National Cricket Stadium, St George's",New Zealand,field,New Zealand
2023-03-18,West Indies,South Africa,"Buffalo Park, East London",West Indies,bat,West Indies
2024-08-15,Netherlands,United States of America,"Sportpark Westvliet, The Hague",United States of America,field,Netherlands
2019-06-19,Netherlands,Zimbabwe,Sportpark Het Schootsveld,Zimbabwe,bat,Netherlands
2007-03-14,Australia,Scotland,"Warner Park, Basseterre",Scotland,field,Australia
2014-10-10,Australia,Pakistan,Dubai International Cricket Stadium,Pakistan,bat,Australia
2018-05-14,Bangladesh,South Africa,Mangaung Oval,South Africa,field,South Africa
2010-06-30,England,Australia,Kennington Oval,England,field,Australia
2018-01-15,Zimbabwe,Bangladesh,"Shere Bangla National Stadium, Mirpur",Bangladesh,field,Bangladesh
2003-03-12,Zimbabwe,Kenya,"Goodyear Park, Bloemfontein",Zimbabwe,bat,Kenya
2003-04-10,Zimbabwe,Pakistan,Sharjah Cricket Association Stadium,Zimbabwe,bat,Pakistan
2022-03-20,New Zealand,England,"Eden Park, Auckland",England,field,England
2013-09-06,Ireland,Scotland,"Civil Service Cricket Club, Stormont",Scotland,bat,Ireland
2004-09-16,New Zealand,Australia,Kennington Oval,Australia,field,Australia
2006-04-03,India,England,"Nehru Stadium, Fatorda",India,bat,India
2019-01-24,New Zealand,India,McLean Park,India,field,India
2004-12-27,India,Bangladesh,Bangabandhu National Stadium,India,bat,India
2009-08-14,Zimbabwe,Bangladesh,Queens Sports Club,Bangladesh,field,Zimbabwe
2016-10-02,South Africa,Australia,New Wanderers Stadium,Australia,field,South Africa
2013-06-19,England,South Africa,Kennington Oval,England,field,England
2022-11-30,India,New Zealand,"Hagley Oval, Christchurch",New Zealand,field,No Result
2019-03-06,South Africa,Sri Lanka,SuperSport Park,Sri Lanka,field,South Africa
2023-10-14,Pakistan,India,"Narendra Modi Stadium, Ahmedabad",India,field,India
2024-09-16,Namibia,United States of America,"United Cricket Club Ground, Windhoek",United States of America,field,United States of America
2023-09-24,New Zealand,South Africa,"Senwes Park, Potchefstroom",South Africa,field,South Africa
2009-01-20,Pakistan,Sri Lanka,National Stadium,Sri Lanka,bat,Pakistan
2007-03-31,Australia,Bangladesh,"Sir Vivian Richards Stadium, North Sound",Australia,field,Australia
2017-08-31,India,Sri Lanka,"R.Premadasa Stadium, Khettarama",India,bat,India
2016-06-15,West Indies,South Africa,"Warner Park, Basseterre",West Indies,field,South Africa
2022-09-17,Namibia,United States of America,"Amini Park, Port Moresby",United States of America,field,Namibia
2024-05-29,England,Pakistan,"County Ground, Chelmsford",England,bat,England
2014-01-19,Australia,England,Melbourne Cricket Ground,Australia,bat,England
2015-08-26,South Africa,New Zealand,Kingsmead,South Africa,bat,South Africa
2019-06-16,India,Pakistan,Old Trafford,Pakistan,field,India
2022-06-03,Pakistan,Sri Lanka,"Southend Club Cricket Stadium, Karachi",Pakistan,bat,Pakistan
2014-01-17,Australia,England,"Brisbane Cricket Ground, Woolloongabba",England,bat,Australia
2022-02-09,India,West Indies,"Narendra Modi Stadium, Ahmedabad",West Indies,field,India
2022-09-22,West Indies,New Zealand,"Sir Vivian Richards Stadium, North Sound, Antigua",West Indies,bat,New Zealand
2019-04-27,Papua New Guinea,United States of America,Affies Park,Papua New Guinea,field,Papua New Guinea
2014-03-05,West Indies,England,"Sir Vivian Richards Stadium, North Sound",West Indies,field,England
2020-01-09,Namibia,United Arab Emirates,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Namibia,bat,United Arab Emirates
2018-03-22,United Arab Emirates,Zimbabwe,Harare Sports Club,Zimbabwe,field,United Arab Emirates
2009-03-14,New Zealand,India,Eden Park,India,bat,New Zealand
2011-12-03,Bangladesh,Pakistan,Shere Bangla National Stadium,Pakistan,bat,Pakistan
2004-12-05,England,Zimbabwe,Queens Sports Club,England,bat,England
2007-04-10,West Indies,South Africa,"National Cricket Stadium, St George's",West Indies,field,South Africa
2012-03-02,Australia,Sri Lanka,Melbourne Cricket Ground,Sri Lanka,bat,Sri Lanka
2010-02-27,India,South Africa,"Sardar Patel Stadium, Motera",South Africa,bat,South Africa
