MatchDate,Team1,Team2,Venue,Toss_Winner,Toss_Decision,Match_Result
2022-12-04,England,West Indies,"Sir Vivian Richards Stadium, North Sound, Antigua",West Indies,field,England
2011-02-23,Kenya,Pakistan,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Pakistan,bat,Pakistan
2024-09-29,England,Australia,"County Ground, Bristol",Australia,field,Australia
2015-11-07,Sri Lanka,West Indies,Pallekele International Cricket Stadium,Sri Lanka,field,Sri Lanka
2010-10-22,South Africa,Zimbabwe,Willowmoore Park,South Africa,bat,South Africa
2019-03-27,Australia,Pakistan,Sheikh Zayed Stadium,Australia,bat,Australia
2006-10-10,Sri Lanka,Zimbabwe,"Sardar Patel Stadium, Motera",Sri Lanka,bat,Sri Lanka
2023-10-28,Australia,New Zealand,"Himachal Pradesh Cricket Association Stadium, Dharamsala",New Zealand,field,Australia
2010-10-11,Bangladesh,New Zealand,Shere Bangla National Stadium,Bangladesh,field,Bangladesh
2003-06-22,Pakistan,England,"Lord's, London",England,field,England
2004-09-13,United States of America,Australia,The Rose Bowl,Australia,field,Australia
2006-11-26,South Africa,India,Newlands,South Africa,bat,South Africa
